"id";"owner";"created_on";"modified_by";"modified_on";"origen_id";"usuario_id";"estado";"razon";"nota";"origen_tipo";"origen_ref";"valor";"pagado"
"14";"6";"2023-03-15 11:56:27";"6";"2023-03-15 11:56:27";"9876";"29";"2";"1";;"1";"Pedido-23.02.22-8370";"185577";"0"
"15";"6";"2023-03-15 11:57:20";"6";"2023-03-15 11:57:20";"9875";"29";"2";"1";;"1";"Pedido-23.02.22-8349";"825";"0"
"16";"6";"2023-03-15 11:58:44";"6";"2023-03-15 11:58:44";"9874";"29";"2";"1";;"1";"Pedido-23.02.21-8348";"7226";"0"
"17";"6";"2023-03-15 12:00:07";"6";"2023-03-15 12:00:07";"9859";"29";"2";"1";;"1";"Pedido-23.02.20-8333";"1881";"0"
"18";"6";"2023-03-15 12:01:26";"6";"2023-03-15 12:01:26";"9852";"29";"2";"1";;"1";"Pedido-23.02.18-8326";"25654";"0"
"19";"6";"2023-03-15 12:03:01";"6";"2023-03-15 12:03:01";"9849";"29";"2";"1";;"1";"Pedido-23.02.17-8323";"8098";"0"
"20";"6";"2023-03-15 12:04:43";"6";"2023-03-15 12:04:43";"9848";"29";"2";"1";;"1";"Pedido-23.02.17-8322";"84155";"0"
"21";"6";"2023-03-15 12:05:22";"6";"2023-03-15 12:05:22";"9845";"29";"2";"1";;"1";"Pedido-23.02.16-8320";"18009";"0"
"22";"6";"2023-03-15 12:05:58";"6";"2023-03-15 12:05:58";"9842";"29";"2";"1";;"1";"Pedido-23.02.16-8317";"825";"0"
"23";"6";"2023-03-15 12:06:55";"6";"2023-03-15 12:06:55";"9839";"29";"2";"1";;"1";"Pedido-23.02.16-8314";"31231";"0"
"24";"6";"2023-03-15 12:15:01";"6";"2023-03-15 12:15:01";"9826";"29";"2";"1";;"1";"Pedido-23.02.15-8306";"32974";"0"
"25";"6";"2023-03-15 12:15:49";"6";"2023-03-15 12:15:49";"9825";"29";"2";"1";;"1";"Pedido-23.02.15-8299";"3168";"0"
"26";"6";"2023-03-15 12:16:56";"6";"2023-03-15 12:16:56";"9822";"29";"2";"1";;"1";"Pedido-23.02.15-8296";"116276";"0"
"27";"6";"2023-03-15 12:42:13";"6";"2023-03-15 12:42:13";"9814";"29";"2";"1";;"1";"Pedido-23.02.14-8289";"78856";"0"
"28";"6";"2023-03-15 12:50:24";"6";"2023-03-15 12:50:24";"9806";"29";"2";"1";;"1";"Pedido-23.02.13-8283";"202297";"0"
"29";"6";"2023-03-15 12:52:12";"6";"2023-03-15 12:52:12";"9802";"29";"2";"1";;"1";"Pedido-23.02.13-8278";"102964";"0"
"30";"6";"2023-03-15 13:05:50";"6";"2023-03-15 13:05:50";"9801";"29";"2";"1";;"1";"Pedido-23.02.13-8277";"16066";"0"
"31";"6";"2023-03-15 13:06:51";"6";"2023-03-15 13:06:51";"9798";"29";"2";"1";;"1";"Pedido-23.02.11-8274";"1518";"0"
"32";"6";"2023-03-15 13:07:35";"6";"2023-03-15 13:07:35";"9797";"29";"2";"1";;"1";"Pedido-23.02.11-8273";"118250";"0"
"33";"6";"2023-03-15 13:08:13";"6";"2023-03-15 13:08:13";"9796";"29";"2";"1";;"1";"Pedido-23.02.11-8271";"825";"0"
"34";"6";"2023-03-15 13:08:52";"6";"2023-03-15 13:08:52";"9794";"29";"2";"1";;"1";"Pedido-23.02.11-8269";"626";"0"
"35";"6";"2023-03-15 13:09:45";"6";"2023-03-15 13:09:45";"9792";"29";"2";"1";;"1";"Pedido-23.02.10-8268";"1715";"0"
"36";"6";"2023-03-15 13:10:20";"6";"2023-03-15 13:10:20";"9791";"29";"2";"1";;"1";"Pedido-23.02.10-8267";"13551";"0"
"37";"6";"2023-03-15 13:11:06";"6";"2023-03-15 13:11:06";"9788";"29";"2";"1";;"1";"Pedido-23.02.10-8264";"110399";"0"
"38";"6";"2023-03-15 13:13:50";"6";"2023-03-15 13:13:50";"9787";"29";"2";"1";;"1";"Pedido-23.02.10-8263";"18448";"0"
"39";"6";"2023-03-15 13:18:10";"6";"2023-03-15 13:18:10";"9779";"29";"2";"1";;"1";"Pedido-23.02.09-8255";"429";"0"
"40";"6";"2023-03-15 13:19:12";"6";"2023-03-15 13:19:12";"9777";"29";"2";"1";;"1";"Pedido-23.02.09-8256";"1518";"0"
"41";"6";"2023-03-15 13:19:44";"6";"2023-03-15 13:19:44";"9776";"29";"2";"1";;"1";"Pedido-23.02.09-8253";"957";"0"
"42";"6";"2023-03-15 13:20:24";"6";"2023-03-15 13:20:24";"9770";"29";"2";"1";;"1";"Pedido-23.02.08-8246";"870";"0"
"43";"6";"2023-03-15 13:22:11";"6";"2023-03-15 13:22:11";"9769";"29";"2";"1";;"1";"Pedido-23.02.08-8245";"48733";"0"
"44";"6";"2023-03-15 13:23:01";"6";"2023-03-15 13:23:01";"9768";"29";"2";"1";;"1";"Pedido-23.02.08-8244";"4002";"0"
"45";"6";"2023-03-15 13:24:01";"6";"2023-03-15 13:24:01";"9767";"29";"2";"1";;"1";"Pedido-23.02.08-8243";"12238";"0"
"46";"6";"2023-03-15 13:25:11";"6";"2023-03-15 13:25:11";"9763";"29";"2";"1";;"1";"Pedido-23.02.07-8239";"55729";"0"
"47";"6";"2023-03-15 13:25:54";"6";"2023-03-15 13:25:54";"9761";"29";"2";"1";;"1";"Pedido-23.02.07-8237";"22818";"0"
"48";"6";"2023-03-15 13:26:46";"6";"2023-03-15 13:26:46";"9758";"29";"2";"1";;"1";"Pedido-23.02.07-8234";"43152";"0"
"49";"6";"2023-03-15 13:28:04";"6";"2023-03-15 13:28:04";"9756";"29";"2";"1";;"1";"Pedido-23.02.07-8232";"4256";"0"
"50";"6";"2023-03-15 13:30:01";"6";"2023-03-15 13:30:01";"9754";"29";"2";"1";;"1";"Pedido-23.02.07-8231";"7308";"0"
"51";"6";"2023-03-15 13:31:42";"6";"2023-03-15 13:31:42";"9746";"29";"2";"1";;"1";"Pedido-23.02.06-8223";"2175";"0"
"52";"6";"2023-03-15 13:33:18";"6";"2023-03-15 13:33:18";"9743";"29";"2";"1";;"1";"Pedido-23.02.06-8252";"37556";"0"
"53";"6";"2023-03-15 13:34:47";"6";"2023-03-15 13:34:47";"9736";"29";"2";"1";;"1";"Pedido-23.02.03-8215";"9973";"0"
"54";"6";"2023-03-15 13:35:27";"6";"2023-03-15 13:35:27";"9733";"29";"2";"1";;"1";"Pedido-23.02.03-8211";"1650";"0"
"55";"6";"2023-03-15 13:36:25";"6";"2023-03-15 13:36:25";"9729";"29";"2";"1";;"1";"Pedido-23.02.03-8208";"14696";"0"
"56";"6";"2023-03-15 13:37:15";"6";"2023-03-15 13:37:15";"9726";"29";"2";"1";;"1";"Pedido-23.02.02-8206";"429";"0"
"57";"6";"2023-03-15 13:38:27";"6";"2023-03-15 13:38:27";"9720";"29";"2";"1";;"1";"Pedido-23.02.02-8201";"44742";"0"
"58";"6";"2023-03-15 13:39:04";"6";"2023-03-15 13:39:04";"9714";"29";"2";"1";;"1";"Pedido-23.02.01-8195";"626";"0"
"59";"6";"2023-03-15 13:49:02";"6";"2023-03-15 13:49:02";"9923";"14";"2";"1";;"1";"Pedido-23.02.28-8394";"857381";"0"
"60";"6";"2023-03-15 13:49:57";"6";"2023-03-15 13:49:57";"9917";"14";"2";"1";;"1";"Pedido-23.02.28-8388";"1518";"0"
"61";"6";"2023-03-15 13:52:36";"6";"2023-03-15 13:52:36";"9896";"14";"2";"1";;"1";"Pedido-23.02.23-8369";"16583";"0"
"62";"6";"2023-03-15 13:53:46";"6";"2023-03-15 13:53:46";"9893";"14";"2";"1";;"1";"Pedido-23.02.23-8366";"825";"0"
"63";"6";"2023-03-15 13:54:43";"6";"2023-03-15 13:54:43";"9890";"14";"2";"1";;"1";"Pedido-23.02.23-8363";"11890";"0"
"64";"6";"2023-03-15 13:57:38";"6";"2023-03-15 13:57:38";"9889";"14";"2";"1";;"1";"Pedido-23.02.23-8362";"4898";"0"
"65";"6";"2023-03-15 15:30:17";"6";"2023-03-15 15:30:17";"9888";"14";"2";"1";;"1";"Pedido-23.02.23-8361";"26574";"0"
"66";"6";"2023-03-15 15:31:11";"6";"2023-03-15 15:31:11";"9880";"14";"2";"1";;"1";"Pedido-23.02.22-8354";"3597";"0"
"67";"6";"2023-03-15 15:32:15";"6";"2023-03-15 15:32:15";"9877";"14";"2";"1";;"1";"Pedido-23.02.22-8350";"58138";"0"
"68";"6";"2023-03-15 15:33:35";"6";"2023-03-15 15:33:35";"9873";"14";"2";"1";;"1";"Pedido-23.02.21-8347";"31700";"0"
"69";"6";"2023-03-15 15:47:55";"6";"2023-03-15 15:47:55";"9862";"14";"2";"1";;"1";"Pedido-23.02.20-8336";"126884";"0"
"70";"6";"2023-03-15 15:48:42";"6";"2023-03-15 15:48:42";"9860";"14";"2";"1";;"1";"Pedido-23.02.20-8334";"9753";"0"
"71";"6";"2023-03-15 15:49:24";"6";"2023-03-15 15:49:24";"9856";"14";"2";"1";;"1";"Pedido-23.02.20-8330";"759";"0"
"72";"6";"2023-03-15 15:51:15";"6";"2023-03-15 15:51:15";"9854";"14";"2";"1";;"1";"Pedido-23.02.18-8328";"59706";"0"
"73";"6";"2023-03-15 15:51:51";"6";"2023-03-15 15:51:51";"9853";"14";"2";"1";;"1";"Pedido-23.02.18-8327";"825";"0"
"74";"6";"2023-03-15 15:52:48";"6";"2023-03-15 15:52:48";"9850";"14";"2";"1";;"1";"Pedido-23.02.17-8324";"1537";"0"
"75";"6";"2023-03-15 15:53:50";"6";"2023-03-15 15:53:50";"9841";"14";"2";"1";;"1";"Pedido-23.02.16-8316";"20030";"0"
"76";"6";"2023-03-15 15:54:27";"6";"2023-03-15 15:54:27";"9838";"14";"2";"1";;"1";"Pedido-23.02.16-8313";"51107";"0"
"77";"6";"2023-03-15 15:55:21";"6";"2023-03-15 15:55:21";"9837";"14";"2";"1";;"1";"Pedido-23.02.16-8312";"79386";"0"
"78";"6";"2023-03-15 15:56:19";"6";"2023-03-15 15:56:19";"9836";"14";"2";"1";;"1";"Pedido-23.02.16-8311";"135343";"0"
"79";"6";"2023-03-15 15:57:29";"6";"2023-03-15 15:57:29";"9835";"14";"2";"1";;"1";"Pedido-23.02.16-8310";"30213";"0"
"80";"6";"2023-03-15 15:58:54";"6";"2023-03-15 15:58:54";"9827";"14";"2";"1";;"1";"Pedido-23.02.15-8302";"156474";"0"
"81";"6";"2023-03-15 15:59:45";"6";"2023-03-15 15:59:45";"9823";"14";"2";"1";;"1";"Pedido-23.02.15-8297";"6815";"0"
"82";"6";"2023-03-15 16:00:31";"6";"2023-03-15 16:00:31";"9818";"14";"2";"1";;"1";"Pedido-23.02.14-8293";"11324";"0"
"83";"6";"2023-03-15 16:01:08";"6";"2023-03-15 16:01:08";"9808";"14";"2";"1";;"1";"Pedido-23.02.13-8284";"32490";"0"
"84";"6";"2023-03-15 16:02:04";"6";"2023-03-15 16:02:04";"9805";"14";"2";"1";;"1";"Pedido-23.02.13-8281";"1715";"0"
"85";"6";"2023-03-15 16:02:47";"6";"2023-03-15 16:02:47";"9799";"14";"2";"1";;"1";"Pedido-23.02.13-8275";"20001";"0"
"86";"6";"2023-03-15 16:15:00";"6";"2023-03-15 16:15:00";"9795";"14";"2";"1";;"1";"Pedido-23.02.11-8270";"47221";"0"
"87";"6";"2023-03-15 16:16:34";"6";"2023-03-15 16:16:34";"9793";"14";"2";"1";;"1";"Pedido-23.02.11-8272";"119778";"0"
"88";"6";"2023-03-15 16:17:27";"6";"2023-03-15 16:17:27";"9786";"14";"2";"1";;"1";"Pedido-23.02.09-8262";"114666";"0"
"89";"6";"2023-03-15 16:18:10";"6";"2023-03-15 16:18:10";"9783";"14";"2";"1";;"1";"Pedido-23.02.09-8259";"626";"0"
"90";"6";"2023-03-15 16:20:20";"6";"2023-03-15 16:20:20";"9774";"14";"2";"1";;"1";"Pedido-23.02.09-8250";"15108";"0"
"91";"6";"2023-03-15 16:21:02";"6";"2023-03-15 16:21:02";"9773";"14";"2";"1";;"1";"Pedido-23.02.09-8249";"30392";"0"
"92";"6";"2023-03-15 16:22:05";"6";"2023-03-15 16:22:05";"9751";"14";"2";"1";;"1";"Pedido-23.02.07-8229";"12126";"0"
"93";"6";"2023-03-15 16:23:21";"6";"2023-03-15 16:23:21";"9740";"14";"2";"1";;"1";"Pedido-23.02.05-8219";"1495";"0"
"94";"6";"2023-03-15 16:24:24";"6";"2023-03-15 16:24:24";"9727";"14";"2";"1";;"1";"Pedido-23.02.02-8207";"3597";"0"
"95";"6";"2023-03-15 16:25:04";"6";"2023-03-15 16:25:04";"9713";"14";"2";"1";;"1";"Pedido-23.02.01-8194";"4125";"0"
"96";"6";"2023-03-15 16:42:22";"6";"2023-03-15 16:42:22";"9782";"28";"2";"1";;"1";"Pedido-23.02.09-8258";"144577";"0"
"97";"6";"2023-03-15 16:44:10";"6";"2023-03-15 16:44:10";"9731";"28";"2";"1";;"1";"Pedido-23.02.03-8214";"26296";"0"
"98";"6";"2023-03-15 16:48:36";"6";"2023-03-15 16:48:36";"9919";"12";"2";"1";;"1";"Pedido-23.02.28-8390";"1748";"0"
"99";"6";"2023-03-15 16:49:34";"6";"2023-03-15 16:49:34";"9912";"12";"2";"1";;"1";"Pedido-23.02.27-8385";"14190";"0"
"100";"6";"2023-03-15 16:51:32";"6";"2023-03-15 16:51:32";"9879";"12";"2";"1";;"1";"Pedido-23.02.22-8352";"200376";"0"
"101";"6";"2023-03-15 17:01:36";"6";"2023-03-15 17:01:36";"9829";"12";"2";"1";;"1";"Pedido-23.02.15-8303";"24024";"0"
"102";"6";"2023-03-15 17:03:45";"6";"2023-03-15 17:03:45";"9828";"12";"2";"1";;"1";"Pedido-23.02.15-8301";"6384";"0"
"103";"6";"2023-03-15 17:05:00";"6";"2023-03-15 17:05:00";"9813";"12";"2";"1";;"1";"Pedido-23.02.14-8288";"335688";"0"
"104";"6";"2023-03-15 17:09:38";"6";"2023-03-15 17:09:38";"9812";"12";"2";"1";;"1";"Pedido-23.02.14-8287";"24900";"0"
"105";"6";"2023-03-15 17:10:08";"6";"2023-03-15 17:10:08";"9865";"12";"2";"1";;"1";"Pedido-23.02.20-8338";"36305";"0"
"106";"6";"2023-03-15 17:10:40";"6";"2023-03-15 17:10:40";"9811";"12";"2";"1";;"1";"Pedido-23.02.14-8286";"10896";"0"
"107";"6";"2023-03-15 17:11:26";"6";"2023-03-15 17:11:26";"9780";"12";"2";"1";;"1";"Pedido-23.02.09-8257";"14755";"0"
"108";"6";"2023-03-15 17:12:17";"6";"2023-03-15 17:12:17";"9778";"12";"2";"1";;"1";"Pedido-23.02.09-8254";"8841";"0"
"109";"6";"2023-03-15 17:13:02";"6";"2023-03-15 17:13:02";"9771";"12";"2";"1";;"1";"Pedido-23.02.08-8247";"1103810";"0"
"110";"6";"2023-03-15 17:15:59";"6";"2023-03-15 17:15:59";"9759";"12";"2";"1";;"1";"Pedido-23.02.07-8235";"437692";"0"
"111";"6";"2023-03-15 17:17:44";"6";"2023-03-15 17:17:44";"9757";"12";"2";"1";;"1";"Pedido-23.02.07-8233";"86420";"0"
"112";"6";"2023-03-15 17:18:36";"6";"2023-03-15 17:18:36";"9752";"12";"2";"1";;"1";"Pedido-23.02.07-8228";"4408";"0"
"113";"6";"2023-03-15 17:19:58";"6";"2023-03-15 17:19:58";"9750";"12";"2";"1";;"1";"Pedido-23.02.06-8227";"1596";"0"
"114";"6";"2023-03-15 17:24:57";"6";"2023-03-15 17:24:57";"9748";"12";"2";"1";;"1";"Pedido-23.02.06-8224";"308940";"0"
"115";"6";"2023-03-15 17:27:15";"6";"2023-03-15 17:27:15";"9741";"12";"2";"1";;"1";"Pedido-23.02.06-8220";"21219";"0"
"116";"6";"2023-03-15 17:28:18";"6";"2023-03-15 17:28:18";"9739";"12";"2";"1";;"1";"Pedido-23.02.04-8218";"68887";"0"
"117";"6";"2023-03-15 17:32:30";"6";"2023-03-15 17:32:30";"9735";"12";"2";"1";;"1";"Pedido-23.02.03-8213";"3306";"0"
"118";"6";"2023-03-15 17:33:06";"6";"2023-03-15 17:33:06";"9724";"12";"2";"1";;"1";"Pedido-23.02.02-8204";"11704";"0"
"119";"6";"2023-03-15 17:33:53";"6";"2023-03-15 17:33:53";"9722";"12";"2";"1";;"1";"Pedido-23.02.02-8202";"88116";"0"
"120";"6";"2023-03-15 17:34:32";"6";"2023-03-15 17:34:32";"9719";"12";"2";"1";;"1";"Pedido-23.02.02-8200";"40680";"0"
"121";"6";"2023-04-13 16:09:04";"6";"2023-04-13 16:09:04";"10160";"12";"2";"1";;"1";"Pedido-23.03.30-8616";"11281";"0"
"122";"6";"2023-04-13 16:10:03";"6";"2023-04-13 16:10:03";"10143";"12";"2";"1";;"1";"Pedido-23.03.28-8600";"33005";"0"
"123";"6";"2023-04-13 16:10:50";"6";"2023-04-13 16:10:50";"10129";"12";"2";"1";;"1";"Pedido-23.03.27-8585";"12795";"0"
"124";"6";"2023-04-13 16:18:02";"6";"2023-04-13 16:18:02";"10125";"12";"2";"1";;"1";"Pedido-23.03.27-8581";"16972";"0"
"125";"6";"2023-04-13 16:20:29";"6";"2023-04-13 16:20:29";"10107";"12";"2";"1";;"1";"Pedido-23.03.24-8563";"805";"0"
"126";"6";"2023-04-13 16:21:02";"6";"2023-04-13 16:21:02";"10102";"12";"2";"1";;"1";"Pedido-23.03.23-8560";"808";"0"
"127";"6";"2023-04-13 16:24:30";"6";"2023-04-13 16:24:30";"10074";"12";"2";"1";;"1";"Pedido-23.03.21-8532";"3870";"0"
"128";"6";"2023-04-13 16:25:14";"6";"2023-04-13 16:25:14";"10071";"12";"2";"1";;"1";"Pedido-23.03.21-8528";"11639";"0"
"129";"6";"2023-04-13 16:25:51";"6";"2023-04-13 16:25:51";"10068";"12";"2";"1";;"1";"Pedido-23.03.21-8524";"14135";"0"
"130";"6";"2023-04-13 16:26:29";"6";"2023-04-13 16:26:29";"10063";"12";"2";"1";;"1";"Pedido-23.03.18-8519";"249188";"0"
"131";"6";"2023-04-13 16:27:19";"6";"2023-04-13 16:27:19";"10062";"12";"2";"1";;"1";"Pedido-23.03.17-8522";"17841";"0"
"132";"6";"2023-04-13 16:34:56";"6";"2023-04-13 16:34:56";"10047";"12";"2";"1";;"1";"Pedido-23.03.15-8506";"90300";"0"
"133";"6";"2023-04-13 16:42:36";"6";"2023-04-13 16:42:36";"10044";"12";"2";"1";;"1";"Pedido-23.03.15-8503";"8577";"0"
"134";"6";"2023-04-13 16:47:12";"6";"2023-04-13 16:47:12";"10023";"12";"2";"1";;"1";"Pedido-23.03.14-8480";"18693";"0"
"135";"6";"2023-04-13 16:48:10";"6";"2023-04-13 16:48:10";"10021";"12";"2";"1";;"1";"Pedido-23.03.14-8478";"11004";"0"
"136";"6";"2023-04-13 16:48:37";"6";"2023-04-13 16:48:37";"10020";"12";"2";"1";;"1";"Pedido-23.03.14-8477";"805";"0"
"137";"6";"2023-04-13 16:49:33";"6";"2023-04-13 16:49:33";"10019";"12";"2";"1";;"1";"Pedido-23.03.14-8476";"14886";"0"
"138";"6";"2023-04-13 16:50:04";"6";"2023-04-13 16:50:04";"10018";"12";"2";"1";;"1";"Pedido-23.03.14-8475";"1365";"0"
"139";"6";"2023-04-13 16:50:43";"6";"2023-04-13 16:50:43";"10017";"12";"2";"1";;"1";"Pedido-23.03.14-8474";"36470";"0"
"140";"6";"2023-04-13 16:51:50";"6";"2023-04-13 16:51:50";"9988";"12";"2";"1";;"1";"Pedido-23.03.09-8452";"15553";"0"
"141";"6";"2023-04-13 17:07:40";"6";"2023-04-13 17:07:40";"9983";"12";"2";"1";;"1";"Pedido-23.03.08-8446";"34485";"0"
"142";"6";"2023-04-13 17:08:21";"6";"2023-04-13 17:08:21";"9984";"12";"2";"1";;"1";"Pedido-23.03.08-8447";"840";"0"
"143";"6";"2023-04-13 17:08:50";"6";"2023-04-13 17:08:50";"9975";"12";"2";"1";;"1";"Pedido-23.03.07-8438";"1645";"0"
"144";"6";"2023-04-13 17:09:25";"6";"2023-04-13 17:09:25";"9974";"12";"2";"1";;"1";"Pedido-23.03.07-8437";"2415";"0"
"145";"6";"2023-04-13 17:28:32";"6";"2023-04-13 17:28:32";"9706";"12";"2";"1";;"1";"Pedido-23.01.30-8186";"1854";"0"
"146";"6";"2023-04-13 17:29:41";"6";"2023-04-13 17:29:41";"9561";"12";"2";"1";;"1";"Pedido-23.01.12-8053";"263231";"0"
"147";"6";"2023-04-13 17:32:10";"6";"2023-04-13 17:32:10";"9868";"12";"2";"1";;"1";"Pedido-23.02.21-8341";"298900";"0"
"148";"6";"2023-04-13 17:32:44";"6";"2023-04-13 17:32:44";"9882";"12";"2";"1";;"1";"Pedido-23.02.22-8355";"6000";"0"
"149";"6";"2023-04-14 10:16:16";"6";"2023-04-14 10:16:16";"10151";"14";"2";"1";;"1";"Pedido-23.03.29-8608";"10200";"0"
"150";"6";"2023-04-14 10:17:02";"6";"2023-04-14 10:17:02";"10150";"14";"2";"1";;"1";"Pedido-23.03.29-8607";"4391";"0"
"151";"6";"2023-04-14 10:17:56";"6";"2023-04-14 10:17:56";"10147";"14";"2";"1";;"1";"Pedido-23.03.29-8604";"79154";"0"
"152";"6";"2023-04-14 10:18:25";"6";"2023-04-14 10:18:25";"10141";"14";"2";"1";;"1";"Pedido-23.03.28-8599";"3480";"0"
"153";"6";"2023-04-14 10:22:38";"6";"2023-04-14 10:22:38";"10134";"14";"2";"1";;"1";"Pedido-23.03.28-8591";"14302";"0"
"154";"6";"2023-04-14 10:23:01";"6";"2023-04-14 10:23:01";"10122";"14";"2";"1";;"1";"Pedido-23.03.25-8579";"14814";"0"
"155";"6";"2023-04-14 10:23:34";"6";"2023-04-14 10:23:34";"10119";"14";"2";"1";;"1";"Pedido-23.03.25-8577";"35755";"0"
"156";"6";"2023-04-14 10:24:10";"6";"2023-04-14 10:24:10";"10118";"14";"2";"1";;"1";"Pedido-23.03.25-8576";"52866";"0"
"157";"6";"2023-04-14 10:24:44";"6";"2023-04-14 10:24:44";"10111";"14";"2";"1";;"1";"Pedido-23.03.24-8568";"5570";"0"
"158";"6";"2023-04-14 10:25:31";"6";"2023-04-14 10:25:31";"10108";"14";"2";"1";;"1";"Pedido-23.03.24-8565";"920";"0"
"159";"6";"2023-04-14 10:25:57";"6";"2023-04-14 10:25:57";"10094";"14";"2";"1";;"1";"Pedido-23.03.22-8550";"1320";"0"
"160";"6";"2023-04-14 10:26:35";"6";"2023-04-14 10:26:35";"10089";"14";"2";"1";;"1";"Pedido-23.03.22-8546";"1980";"0"
"161";"6";"2023-04-14 10:27:07";"6";"2023-04-14 10:27:07";"10088";"14";"2";"1";;"1";"Pedido-23.03.22-8545";"570";"0"
"162";"6";"2023-04-14 10:27:30";"6";"2023-04-14 10:27:30";"10087";"14";"2";"1";;"1";"Pedido-23.03.22-8544";"1274";"0"
"163";"6";"2023-04-14 10:28:00";"6";"2023-04-14 10:28:00";"10083";"14";"2";"1";;"1";"Pedido-23.03.22-8540";"25001";"0"
"164";"6";"2023-04-14 10:28:29";"6";"2023-04-14 10:28:29";"10081";"14";"2";"1";;"1";"Pedido-23.03.22-8538";"12390";"0"
"165";"6";"2023-04-14 10:29:11";"6";"2023-04-14 10:29:11";"10077";"14";"2";"1";;"1";"Pedido-23.03.21-8535";"23816";"0"
"166";"6";"2023-04-14 10:29:37";"6";"2023-04-14 10:29:37";"10076";"14";"2";"1";;"1";"Pedido-23.03.21-8534";"35749";"0"
"167";"6";"2023-04-14 10:30:34";"6";"2023-04-14 10:30:34";"10072";"14";"2";"1";;"1";"Pedido-23.03.21-8530";"24951";"0"
"168";"6";"2023-04-14 11:51:12";"6";"2023-04-14 11:51:12";"10064";"14";"2";"1";;"1";"Pedido-23.03.18-8520";"12492";"0"
"169";"6";"2023-04-14 11:51:35";"6";"2023-04-14 11:51:35";"10067";"14";"2";"1";;"1";"Pedido-23.03.21-8523";"6900";"0"
"170";"6";"2023-04-14 11:54:48";"6";"2023-04-14 11:54:48";"10066";"14";"2";"1";;"1";"Pedido-23.03.21-8526";"35282";"0"
"171";"6";"2023-04-14 11:55:26";"6";"2023-04-14 11:55:26";"10055";"14";"2";"1";;"1";"Pedido-23.03.17-8513";"22155";"0"
"172";"6";"2023-04-14 11:56:01";"6";"2023-04-14 11:56:01";"10052";"14";"2";"1";;"1";"Pedido-23.03.16-8510";"690";"0"
"173";"6";"2023-04-14 11:59:53";"6";"2023-04-14 11:59:53";"10042";"14";"2";"1";;"1";"Pedido-23.03.15-8501";"14868";"0"
"174";"6";"2023-04-14 12:00:20";"6";"2023-04-14 12:00:20";"10041";"14";"2";"1";;"1";"Pedido-23.03.15-8500";"2189";"0"
"175";"6";"2023-04-14 12:00:42";"6";"2023-04-14 12:00:42";"10038";"14";"2";"1";;"1";"Pedido-23.03.15-8496";"6900";"0"
"176";"6";"2023-04-14 12:01:08";"6";"2023-04-14 12:01:08";"10037";"14";"2";"1";;"1";"Pedido-23.03.15-8497";"43740";"0"
"177";"6";"2023-04-14 12:05:49";"6";"2023-04-14 12:05:49";"10036";"14";"2";"1";;"1";"Pedido-23.03.15-8495";"20912";"0"
"178";"6";"2023-04-14 12:06:48";"6";"2023-04-14 12:06:48";"10035";"14";"2";"1";;"1";"Pedido-23.03.15-8494";"179022";"0"
"179";"6";"2023-04-14 12:07:29";"6";"2023-04-14 12:07:29";"10030";"14";"2";"1";;"1";"Pedido-23.03.14-8489";"12941";"0"
"180";"6";"2023-04-14 12:07:58";"6";"2023-04-14 12:07:58";"10027";"14";"2";"1";;"1";"Pedido-23.03.14-8485";"690";"0"
